OTU_2026,,Porifera,phylum,1,Homoscleromorpha,class,1,Homosclerophorida,order,1,Plakinidae,family,1,Oscarella,genus,0.9,Oscarella malakhovi,species,0.58
OTU_2031,,Cnidaria,phylum,1,Hydrozoa,class,1,Siphonophorae,order,0.33,Apolemiidae,family,0.26,Apolemia,genus,0.26,Apolemia rubriversa,species,0.21
OTU_2033,,Porifera,phylum,1,Demospongiae,class,1,Haplosclerida,order,1,Chalinidae,family,0.92,Haliclona,genus,0.92,Haliclona implexiformis,species,0.55
OTU_2040,,Arthropoda,phylum,1,Maxillopoda,class,1,Calanoida,order,1,Paracalanidae,family,1,Paracalanus,genus,1,Paracalanus indicus,species,1
OTU_2057,,Mollusca,phylum,1,Gastropoda,class,1,,,,Siphonariidae,family,1,Siphonaria,genus,1,Siphonaria capensis,species,1
OTU_2065,,Mollusca,phylum,1,Gastropoda,class,1,,,,Assimineidae,family,1,Assiminea,genus,1,Assiminea capensis,species,1
OTU_2092,,Cnidaria,phylum,1,Hydrozoa,class,1,Leptothecata,order,1,Plumulariidae,family,1,Plumularia,genus,1,Plumularia gaimardi,species,1
OTU_2128,,Arthropoda,phylum,1,Maxillopoda,class,1,Sessilia,order,1,Balanidae,family,1,Balanus,genus,1,Balanus trigonus,species,1
OTU_2136,,Echinodermata,phylum,1,Asteroidea,class,1,Valvatida,order,1,Asterinidae,family,1,Parvulastra,genus,1,Parvulastra exigua,species,1
OTU_2171,,Chordata,phylum,1,Actinopteri,class,1,Scombriformes,order,1,Scombridae,family,1,Thunnus,genus,1,Thunnus orientalis,species,0.73
OTU_2205,,Porifera,phylum,1,Demospongiae,class,1,Poecilosclerida,order,1,Coelosphaeridae,family,0.99,Lissodendoryx,genus,0.99,Lissodendoryx sigmata,species,0.99
OTU_2210,,Chordata,phylum,1,Ascidiacea,class,1,Stolidobranchia,order,1,Styelidae,family,1,Styela,genus,1,Styela plicata,species,1
OTU_2289,,Cnidaria,phylum,1,Hydrozoa,class,0.99,Leptothecata,order,0.77,Campanulariidae,family,0.69,Orthopyxis,genus,0.38,Orthopyxis integra,species,0.38
OTU_2313,,Cnidaria,phylum,1,Hydrozoa,class,1,Leptothecata,order,0.83,Campanulariidae,family,0.81,Clytia,genus,0.55,Clytia linearis,species,0.47
OTU_2325,,Mollusca,phylum,1,Bivalvia,class,1,Ostreoida,order,1,Ostreidae,family,1,Ostrea,genus,1,Ostrea stentina,species,1
OTU_2329,,Nematoda,phylum,1,Chromadorea,class,1,Rhabditida,order,1,Rhabditidae,family,1,Caenorhabditis,genus,1,Caenorhabditis brenneri,species,1
OTU_2345,,Annelida,phylum,1,Polychaeta,class,1,Eunicida,order,1,Onuphidae,family,1,Diopatra,genus,1,Diopatra dentata,species,0.95
OTU_2366,,Porifera,phylum,1,Demospongiae,class,1,Halichondrida,order,1,Halichondriidae,family,1,Halichondria,genus,1,Halichondria panicea,species,1
OTU_2375,,Cnidaria,phylum,1,Hydrozoa,class,1,Leptothecata,order,1,Plumulariidae,family,0.98,Plumularia,genus,0.98,Plumularia setacea,species,0.91
OTU_2469,,Chordata,phylum,1,Ascidiacea,class,1,Enterogona,order,1,Ascidiidae,family,1,Ascidiella,genus,1,Ascidiella aspersa,species,1
OTU_2499,,Chordata,phylum,1,Actinopteri,class,1,Clupeiformes,order,1,Clupeidae,family,1,Gilchristella,genus,1,Gilchristella aestuaria,species,1
OTU_2521,,Cnidaria,phylum,1,Hydrozoa,class,0.99,Anthoathecata,order,0.33,Hydractiniidae,family,0.27,Clava,genus,0.26,Clava multicornis,species,0.26
OTU_2536,,Chordata,phylum,1,Ascidiacea,class,1,Stolidobranchia,order,1,Styelidae,family,1,Polyandrocarpa,genus,1,Polyandrocarpa zorritensis,species,1
OTU_2568,,Porifera,phylum,1,Demospongiae,class,1,Haplosclerida,order,1,Chalinidae,family,1,Haliclona,genus,1,Haliclona implexiformis,species,0.79
OTU_2600,,Echinodermata,phylum,1,Echinoidea,class,1,Echinoida,order,1,Echinidae,family,1,Parechinus,genus,1,Parechinus angulosus,species,1
OTU_2602,,Cnidaria,phylum,1,Hydrozoa,class,1,Leptothecata,order,1,Plumulariidae,family,1,Plumularia,genus,1,Plumularia gaimardi,species,1
OTU_2618,,Echinodermata,phylum,1,Asteroidea,class,1,Valvatida,order,1,Asterinidae,family,1,Parvulastra,genus,1,Parvulastra exigua,species,1
OTU_2672,,Mollusca,phylum,1,Bivalvia,class,1,Mytiloida,order,1,Mytilidae,family,1,Perna,genus,1,Perna perna,species,0.88
OTU_2693,,Arthropoda,phylum,1,Maxillopoda,class,0.99,Calanoida,order,0.99,Paracalanidae,family,0.98,Paracalanus,genus,0.97,Paracalanus parvus,species,0.97
OTU_2716,,Mollusca,phylum,1,Bivalvia,class,1,Mytiloida,order,1,Mytilidae,family,1,Semimytilus,genus,1,Semimytilus algosus,species,1
OTU_2749,,Chordata,phylum,1,Actinopteri,class,1,Gadiformes,order,1,Merlucciidae,family,1,Merluccius,genus,1,Merluccius capensis,species,1
OTU_2791,,Arthropoda,phylum,1,Maxillopoda,class,1,Calanoida,order,1,Temoridae,family,1,Temora,genus,1,Temora turbinata,species,1
