"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_2312",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_232",0,0,0,0,0,0,0,0,0,0,0,0,322,5,0,0,0,0
"OTU_2331",0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
"OTU_235",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2364",0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_237",0,0,0,0,63,28,0,2,0,0,0,3,0,0,1,0,0,124
"OTU_2392",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"OTU_2401",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"OTU_242",0,188,0,0,2,15,30,26,43,53,0,12,0,0,0,0,0,3
"OTU_2443",0,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"OTU_2459",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"OTU_246",0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2480",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"OTU_2483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"OTU_2527",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_259",0,0,0,0,6,13,13,10,260,42,0,0,0,0,0,0,0,0
"OTU_2601",0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"OTU_2606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"OTU_2614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"OTU_2641",0,3,0,0,0,0,0,0,0,0,0,4,2,11,0,0,0,0
"OTU_2646",0,0,0,0,0,0,0,4,14,1,0,0,0,0,0,0,0,0
"OTU_2648",0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"OTU_2653",0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2674",0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_2683",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2745",7,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
"OTU_2750",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"OTU_2768",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2812",0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0
"OTU_283",0,28,0,0,2,3,105,63,60,59,0,3,0,0,0,0,0,0
"OTU_2843",0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_2844",0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
"OTU_2863",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"OTU_2882",0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_289",0,3,0,0,9,4,0,147,67,2,0,0,0,0,5,2,3,0
"OTU_2904",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"OTU_2906",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"OTU_2967",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"OTU_297",1,13,4,1,3,11,68,18,12,42,0,0,4,0,4,16,2,20
