"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1119",0,0,30,15,0,0,0,17,27,0,0,0,11,20,0,0,0,0
"OTU_112",0,0,0,0,25,12,0,0,0,0,0,9,0,0,0,0,9,2471
"OTU_1121",0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1123",0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,54,0
"OTU_1124",0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0
"OTU_1125",16,0,63,35,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"OTU_1126",0,0,100,0,0,0,0,36,0,9,0,0,0,0,0,0,0,0
"OTU_1127",0,0,0,0,36,0,27,0,0,10,0,14,0,0,0,0,0,12
"OTU_1128",0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_113",0,229,510,9,765,76,212,2280,711,104,0,87,1485,100,914,98,133,0
"OTU_1130",0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0
"OTU_1132",0,16,0,0,0,0,0,58,51,0,0,0,0,0,0,0,0,0
"OTU_1133",0,23,0,3,0,0,0,0,0,0,0,120,0,0,7,0,0,0
"OTU_1136",0,0,0,0,0,9,0,0,0,0,0,0,0,0,135,9,0,0
"OTU_1137",101,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1138",0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
"OTU_1139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"OTU_114",0,22,0,0,66,21,0,0,28,0,0,0,0,0,195,28,28,2290
"OTU_1140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,104,0,0
"OTU_1141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"OTU_1142",0,13,0,0,0,0,5,43,17,8,0,44,0,0,0,0,0,0
"OTU_1143",0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1144",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,63
"OTU_1145",0,14,0,0,0,0,0,0,0,0,0,23,0,0,58,0,22,0
"OTU_1149",85,0,0,0,0,0,0,0,0,0,14,0,0,27,0,0,0,0
"OTU_115",3987,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0
"OTU_1151",0,0,0,0,0,0,0,64,24,16,0,0,45,0,0,0,0,0
"OTU_1155",0,31,0,0,0,0,0,20,8,10,0,15,0,11,9,0,0,0
"OTU_1157",0,23,0,0,0,0,0,0,45,0,0,44,0,0,0,0,0,0
"OTU_1159",0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",0,0,10,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1160",0,48,0,0,0,0,0,0,15,23,0,11,0,0,0,0,0,0
"OTU_1161",0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0
"OTU_1162",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,18,9,0
"OTU_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"OTU_1165",0,22,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
"OTU_1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"OTU_1167",0,0,0,22,0,0,0,0,0,0,0,0,0,0,15,0,0,48
"OTU_1169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"OTU_117",0,95,0,0,40,0,0,0,0,16,0,0,0,0,1388,2954,0,0
"OTU_1170",0,0,0,0,0,0,0,56,46,0,0,0,0,0,0,0,0,0
"OTU_1171",0,0,0,0,0,0,0,12,39,10,0,17,0,0,0,0,0,0
"OTU_1172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"OTU_1175",0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,63
"OTU_1176",0,0,0,0,0,0,16,68,0,0,0,49,0,0,0,0,0,0
"OTU_1178",0,52,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
"OTU_118",0,0,0,0,104,606,0,0,38,0,0,169,0,0,580,143,1776,177
"OTU_1180",0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0
