"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_169",11,227,0,0,391,21,24,0,133,18,0,4,0,0,11,0,0,0
"OTU_1690",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1693",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_17",177,6,0,0,0,0,9,13818,13,0,0,44,0,0,0,0,0,0
"OTU_1706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"OTU_171",0,283,0,0,0,0,53,0,328,215,0,26,0,0,0,0,0,0
"OTU_1715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"OTU_1716",0,3,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0
"OTU_1718",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
"OTU_172",0,6,0,0,21,0,19,81,9,0,0,0,0,21,225,76,241,500
"OTU_1723",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"OTU_1726",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"OTU_1727",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"OTU_1735",7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_1740",0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"OTU_1749",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_175",0,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,0,0,0
"OTU_1753",0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1758",0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_176",7,44,53,2584,0,0,7,0,0,0,239,0,0,0,0,0,0,0
"OTU_1768",0,0,0,26,0,0,0,5,0,0,0,8,0,0,0,0,0,0
"OTU_1776",0,8,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
"OTU_1787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"OTU_1790",0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0
"OTU_1795",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_18",0,12829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_180",0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1803",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1804",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"OTU_1809",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1821",0,4,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0
"OTU_1822",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"OTU_1831",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1835",0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0
"OTU_1836",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1837",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_184",346,39,0,0,0,0,0,6,348,11,155,194,0,0,0,0,0,0
"OTU_1854",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_186",0,0,13,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1127
"OTU_1861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0
"OTU_1879",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1888",0,0,0,0,0,0,0,0,0,0,11,0,0,44,0,0,0,0
"OTU_1889",0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_189",0,0,345,712,0,0,0,0,0,0,0,0,267,0,0,0,0,0
"OTU_1891",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"OTU_1892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"OTU_19",0,0,0,0,0,0,0,0,0,569,826,73,0,0,4623,1804,10881,0
"OTU_1901",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"OTU_1906",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"OTU_1911",0,0,0,0,1,0,3,0,0,0,0,0,0,0,18,0,0,0
"OTU_1918",0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0
"OTU_1919",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"OTU_1925",0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
"OTU_1930",2,3,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0
"OTU_1937",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1954",0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1956",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"OTU_1969",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"OTU_197",0,0,586,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
"OTU_1976",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1978",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_1980",0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
"OTU_1981",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1984",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_1986",0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"OTU_1989",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1994",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1995",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2006",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"OTU_2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"OTU_2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"OTU_2020",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2021",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2025",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2028",0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0
"OTU_2031",0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"OTU_2034",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2035",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_204",0,0,0,39,175,0,6,0,0,0,0,95,0,0,140,0,21,221
"OTU_2044",0,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"OTU_2045",0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"OTU_2046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"OTU_2050",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_206",316,0,0,1517,0,0,0,0,0,0,9,0,0,661,0,0,0,0
"OTU_2060",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"OTU_2063",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"OTU_2078",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
"OTU_2084",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2088",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
"OTU_2096",4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"OTU_2098",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_210",540,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,266,0
"OTU_2121",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"OTU_2124",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2151",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2162",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2172",0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0
"OTU_2177",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2182",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
