"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1159",0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",0,0,10,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1160",0,47,0,0,0,0,0,0,13,22,0,11,0,0,0,0,0,0
"OTU_1161",0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0
"OTU_1162",138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13,8,0
"OTU_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"OTU_1165",0,23,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
"OTU_1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"OTU_1167",0,0,0,22,0,0,0,0,0,0,0,0,0,0,15,0,0,50
"OTU_1169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"OTU_117",0,86,0,0,43,0,0,0,0,14,0,0,0,0,1390,2961,0,0
"OTU_1170",0,0,0,0,0,0,0,58,42,0,0,0,0,0,0,0,0,0
"OTU_1171",0,0,0,0,0,0,0,13,35,9,0,17,0,0,0,0,0,0
"OTU_1172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
"OTU_1175",0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,58
"OTU_1176",0,0,0,0,0,0,16,69,0,0,0,54,0,0,0,0,0,0
"OTU_1178",0,54,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
"OTU_118",0,0,0,0,110,589,0,0,40,0,0,170,0,0,555,140,1771,187
"OTU_1180",0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0
"OTU_1181",0,0,0,0,19,0,0,21,6,0,0,14,15,0,41,0,0,0
"OTU_1182",0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"OTU_1183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"OTU_1184",0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0
"OTU_1185",0,43,0,89,0,0,0,0,7,0,0,0,0,0,0,0,0,0
