"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1300",0,25,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"OTU_1301",0,0,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1305",0,0,0,0,0,0,0,40,5,0,0,0,33,0,0,0,0,0
"OTU_1308",0,0,0,0,7,0,0,0,0,0,0,0,21,0,0,0,0,3
"OTU_131",0,61,126,0,0,0,113,16,37,47,0,18,426,55,25,0,20,0
"OTU_1311",0,0,0,0,0,0,2,6,3,0,0,12,0,0,0,0,0,0
"OTU_1314",0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_1315",0,0,4,5,0,0,0,0,0,0,0,14,5,0,0,0,0,0
"OTU_1317",0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_1318",0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0
"OTU_1319",0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_132",0,0,0,3,27,0,0,83,13,0,0,551,0,0,1,17,21,34
"OTU_1323",0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_1329",0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
"OTU_133",143,11,0,116,0,23,7,4,19,67,144,0,0,0,0,0,0,0
"OTU_1333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"OTU_1334",0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0
"OTU_1337",0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0
"OTU_1339",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,132,0,0
"OTU_1344",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"OTU_1345",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,35,0,0
"OTU_1346",0,0,5,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0
"OTU_1350",0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
"OTU_1353",0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0
"OTU_1357",0,0,0,0,1,20,4,0,0,7,0,0,0,0,0,0,0,0
"OTU_1361",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"OTU_1363",0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"OTU_137",0,0,0,1,0,0,0,0,0,0,0,8,0,22,0,0,0,241
"OTU_1374",0,7,0,0,0,0,0,0,0,0,0,2,3,0,5,7,0,0
"OTU_1379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"OTU_1382",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_1383",0,8,0,0,0,0,4,0,0,0,1,9,0,0,0,0,0,0
"OTU_1386",0,0,0,0,10,0,2,3,2,1,0,0,0,0,0,0,0,0
"OTU_1387",0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0
"OTU_1388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"OTU_1389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0
"OTU_1392",0,0,0,0,0,0,4,8,3,5,0,0,0,0,0,0,0,0
"OTU_1393",0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1396",0,6,0,0,0,0,0,4,2,1,0,4,0,1,0,0,0,0
"OTU_1398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14",0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1403",0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0
"OTU_1404",0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"OTU_1406",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_1407",0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3
"OTU_1409",0,0,0,0,0,0,0,2,4,0,0,10,0,0,0,0,0,0
"OTU_1412",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_1419",0,0,26,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"OTU_1420",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_1421",0,0,0,0,5,0,0,10,7,0,0,0,0,0,0,0,0,0
"OTU_1422",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU_1425",0,0,2,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0
"OTU_143",504,0,0,0,0,0,4,0,0,27,39,0,0,0,3,0,0,0
"OTU_1432",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1434",0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0
"OTU_1438",0,0,19,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0
"OTU_1439",0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
"OTU_1442",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"OTU_1446",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_1448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0
"OTU_1449",3,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0
"OTU_145",0,0,0,42,212,57,0,0,0,0,0,16,0,0,74,104,0,56
"OTU_1453",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1454",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1455",0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0
"OTU_1456",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1459",0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1461",0,0,0,2,5,6,0,3,0,0,0,3,0,0,0,0,0,0
"OTU_1462",0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0
"OTU_1469",0,1,0,0,0,0,0,1,2,0,0,0,21,0,0,0,0,0
"OTU_1477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0
"OTU_1478",0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_148",0,0,0,0,18,14,0,59,7,0,0,0,0,0,375,341,38,0
"OTU_1490",0,16,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"OTU_1491",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"OTU_1497",0,4,20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"OTU_1498",0,0,0,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0
