"","Z.BR1","Z.BR2","Z.BR3","Z.CN1","Z.CN2","Z.CN3","Z.DC1","Z.DC2","Z.DC3","Z.DN1","Z.DU1","Z.DU2","Z.DU3","Z.EL1","Z.EL2","Z.EL3","Z.HB1","Z.HB2","Z.HB3","Z.HN1","Z.HN2","Z.HN3","Z.KN1","Z.KN2","Z.KN3","Z.MB1","Z.MB2","Z.MB3","Z.MN1","Z.MN2","Z.MN3","Z.NK1","Z.NK2","Z.NK3","Z.PA1","Z.PA2","Z.PA3","Z.PE.B","Z.PE1","Z.PE2","Z.PE3","Z.RB1","Z.RB2","Z.RB3","Z.RN1","Z.RN2","Z.RN3","Z.SB1","Z.SB2","Z.SB3","Z.SM1","Z.SM2","Z.SM3","Z.SN1","Z.SN2","Z.SN3","Z.SY1","Z.SY2","Z.SY3","Z.TB1","Z.TB2","Z.TB3"
"Zotu1081",0,0,0,3,3,9,0,0,0,0,0,0,5,36,21,15,5,0,0,0,0,0,5,11,6,157,133,135,50,73,81,37,33,18,0,0,7,4,0,5,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1082",273,318,395,0,0,3,0,0,0,0,0,0,0,0,0,0,46,40,48,26,29,43,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Zotu1084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,223,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"Zotu1085",7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,12,15,9,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,84,67,56,27,47,37,13,12,12,14,18,16,64,199,89
"Zotu1088",0,0,0,340,447,377,0,0,0,0,0,0,0,0,0,0,19,6,4,0,3,16,0,3,0,0,0,5,15,14,13,13,16,10,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,33,20,3,0,3,0,0,0,0,0,0
"Zotu1089",142,173,160,0,12,11,0,0,0,0,0,0,0,34,25,28,0,0,0,0,0,0,4,14,13,12,10,11,59,68,54,28,55,36,0,0,0,0,5,4,3,0,0,0,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1090",0,0,4,39,25,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,12,4,7,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,17,13,27,35,59,3,0,0,0,0,0,148,384,72
"Zotu1091",0,0,0,41,22,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,10,82,65,73,28,28,60,16,26,21,0,0,0,11,67,74,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,7
"Zotu1093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,13,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,196,460,154
"Zotu1094",0,0,0,415,426,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,16,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,6,0,0,0,0,0,0
"Zotu1095",223,226,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1097",0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,17,16,12,3,0,5,0,0,0,0,0,0,0,0,129,301,149
"Zotu1098",4,4,4,0,3,0,0,0,0,0,7,5,6,0,0,0,16,38,21,0,0,0,4,3,3,13,10,16,0,0,0,79,125,69,0,0,0,37,5,0,5,0,0,0,11,18,9,0,7,4,37,45,24,245,230,186,0,0,0,0,0,0
"Zotu1099",15,10,16,47,51,47,0,0,0,0,27,26,14,22,24,15,87,60,61,5,11,10,7,12,12,136,113,109,110,104,142,36,45,41,10,24,26,4,0,4,7,32,43,32,43,77,40,5,6,6,14,12,11,0,0,7,0,4,0,43,203,62
"Zotu11",0,0,0,0,0,0,99223,108969,78556,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
