"","C1","C2","C3","C4","C5","C6","C7","C8","C9","NTC","PCR1","X","Kingdom","Phylum","Class","Order","Family","Genus","NA"
"OTU_12788",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12789",0,0,0,0,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12791",0,0,0,0,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12792",0,0,0,0,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1304",0,0,97,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1311",0,73,90,192,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1327",0,39,0,0,3,104,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1338",0,0,88,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1347",0,0,217,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13545",6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13546",0,6,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13548",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13550",0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13551",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13552",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13553",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13554",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13555",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13556",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13559",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13560",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13562",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13565",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13566",0,0,0,11,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13567",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13569",0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13570",0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13571",0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13572",0,0,0,0,0,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13573",0,0,0,0,0,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_13574",0,0,0,0,0,0,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14",0,0,0,0,0,0,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1417",0,0,0,0,11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14482",0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14483",0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14485",0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14486",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14487",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14489",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14490",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14493",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14495",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14496",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14497",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14498",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14499",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14500",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14501",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14502",0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14505",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14508",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14509",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14510",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14511",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14512",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14513",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14514",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14515",0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14516",0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14517",0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14518",0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14519",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14521",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14522",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14523",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14525",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14526",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14527",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14528",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14529",0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1453",0,0,6,9,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_14530",0,0,0,0,0,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1474",0,0,27,29,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_15",0,0,151,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_15181",0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_15481",4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_15482",0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
